school,test_optional,for_class_year,n_applicants,acceptance_rate,sat_25th,sat_75th,sat_median
Reed College,Yes (TB),2021 2022,5815,0.395,1325.0,1520.0,1422.5
Binghamton University—​SUNY,Yes,2021,38755,0.39799999999999996,1310.0,1440.0,1375.0
Dickinson College,Yes,All / Permanent Policy,6426,0.401,1240.0,1410.0,1325.0
University of Tulsa,Yes,2021,8526,0.408,1180.0,1410.0,1295.0
George Washington University,Yes,All / Permanent Policy,26968,0.409,1280.0,1470.0,1375.0
University of California—​Davis,Yes,2021 2022 2023 2024,76647,0.41200000000000003,1150.0,1410.0,1280.0
Stevens Institute of Technology,Yes,2021,9265,0.414,1330.0,1480.0,1405.0
St. Lawrence University,Yes,All / Permanent Policy,6998,0.424,1160.0,1350.0,1255.0
Union College (Schenectady NY),Yes,All / Permanent Policy,6086,0.429,1220.0,1420.0,1320.0
Rensselaer Polytechnic Institute,Yes,2021,20402,0.43,1330.0,1500.0,1415.0
Bentley University,Yes,2021,9252,0.43200000000000005,1240.0,1410.0,1325.0
CUNY--Baruch College,Yes (TB),2021,20303,0.434,1130.0,1330.0,1230.0
Spelman College,Yes,2021,9106,0.434,1080.0,1230.0,1155.0
Loyola Marymount University,Yes,2021,18592,0.438,1230.0,1410.0,1320.0
University of Maryland—​College Park,Yes,2021,32987,0.441,1280.0,1480.0,1380.0
Stony Brook University—​SUNY,Yes,2021,37079,0.441,1230.0,1440.0,1335.0
Rhodes College,Yes,2021 2022 2023,5207,0.44700000000000006,1220.0,1430.0,1325.0
North Carolina State University—​Raleigh,Yes,2021,30995,0.449,1250.0,1390.0,1320.0
Baylor University,Yes,2021,34582,0.45299999999999996,1200.0,1380.0,1290.0
University of Dallas,Yes,2021,4676,0.45299999999999996,1150.0,1360.0,1255.0
Gettysburg College,Yes,All / Permanent Policy,6269,0.454,1270.0,1420.0,1345.0
Fordham University,Yes,2021 2022,46308,0.46,1250.0,1430.0,1340.0
Texas Christian University,Yes,2021,19028,0.47100000000000003,1150.0,1350.0,1250.0
Southern Methodist University,Yes,2021,13959,0.473,1300.0,1480.0,1390.0
Providence College,Yes,All / Permanent Policy,11478,0.47500000000000003,1210.0,1350.0,1280.0
St. Olaf College,Yes,All / Permanent Policy,5694,0.47500000000000003,1190.0,1430.0,1310.0
University of New Mexico,Yes,All / Permanent Policy,12281,0.48600000000000004,1040.0,1270.0,1155.0
University of Georgia,Yes,2021,26027,0.48600000000000004,1240.0,1410.0,1325.0
University of San Diego,Yes,All / Permanent Policy,13755,0.48700000000000004,1200.0,1350.0,1275.0
University of Connecticut,Yes,2021 2022 2023,34886,0.488,1210.0,1420.0,1315.0
Santa Clara University,Yes,2021 2022,16300,0.488,1280.0,1440.0,1360.0
Southwestern University,Yes,All / Permanent Policy,4766,0.49,1140.0,1320.0,1230.0
Pennsylvania State University—​University Park,Yes,2021,71903,0.49100000000000005,1160.0,1370.0,1265.0
Marist College,Yes,All / Permanent Policy,11260,0.49200000000000005,1210.0,1360.0,1285.0
The College of New Jersey,Yes,2021 2022 2023,13824,0.493,1160.0,1360.0,1260.0
Worcester Polytechnic Institute,Yes,All / Permanent Policy,10645,0.494,1310.0,1470.0,1390.0
Syracuse University,Yes,2021,34981,0.499,1180.0,1370.0,1275.0
University of La Verne,Yes,All / Permanent Policy,7276,0.509,1020.0,1205.0,1112.5
Clemson University,Yes,2021,29070,0.513,1230.0,1400.0,1315.0
Austin College,Yes,All / Permanent Policy,4360,0.513,1110.0,1290.0,1200.0
University of California—​Santa Cruz,Yes (TB),2021 2022 2023 2024,55906,0.515,1200.0,1360.0,1280.0
University of Washington--Seattle,Yes,All / Permanent Policy,45579,0.518,1240.0,1440.0,1340.0
California State University--Fullerton,Yes (TB),2021,50105,0.527,1030.0,1200.0,1115.0
University of Wisconsin—​Madison,Yes,2021 2022,43921,0.53,1330.0,1450.0,1390.0
Colorado School of Mines,Yes,2021,11756,0.531,1260.0,1460.0,1360.0
Chapman University,Yes,All / Permanent Policy,14198,0.536,1190.0,1370.0,1280.0
Ohio State University—​Columbus,Yes,2021,47703,0.537,1250.0,1460.0,1355.0
Texas Lutheran University,Yes,2021,2198,0.543,990.0,1160.0,1075.0
University at Albany—​SUNY,Yes,2021,27529,0.543,1090.0,1250.0,1170.0
Georgia Southern,Yes,2021,13858,0.545,1050.0,1200.0,1125.0
College of Wooster,Yes,All / Permanent Policy,6352,0.547,1150.0,1380.0,1265.0
San Jose State University,Yes (TB),2021,36243,0.547,1040.0,1260.0,1150.0
California State Polytechnic University--Pomona,Yes (TB),2021,36660,0.555,1030.0,1250.0,1140.0
Whitman College,Yes,All / Permanent Policy,4832,0.5579999999999999,1240.0,1450.0,1345.0
Sarah Lawrence College,Yes,All / Permanent Policy,3325,0.5579999999999999,1240.0,1420.0,1330.0
New School,Yes,All / Permanent Policy,9911,0.5660000000000001,1150.0,1360.0,1255.0
University of Pittsburgh,Yes,2021,32091,0.5670000000000001,1260.0,1440.0,1350.0
University of California Riverside,Yes,2021 2022 2023 2024,49788,0.5670000000000001,1130.0,1340.0,1235.0
University of Minnesota—​Twin Cities,Yes,2021,40673,0.5670000000000001,1260.0,1480.0,1370.0
Hobart and William Smith Colleges,Yes,All / Permanent Policy,4526,0.569,1203.0,1360.0,1281.5
Abilene Christian University,Yes,2021,11569,0.5700000000000001,1040.0,1230.0,1135.0
Bennington College,Yes,All / Permanent Policy,1494,0.5700000000000001,1230.0,1390.0,1310.0
Birmingham-​Southern College,Yes,All / Permanent Policy,3628,0.5700000000000001,1040.0,1250.0,1145.0
Fairfield University,Yes,All / Permanent Policy,12315,0.5710000000000001,1210.0,1350.0,1280.0
Georgia State,Yes,2021,19838,0.574,990.0,1190.0,1090.0
Texas A&M University—​College Station,Yes,2021,42899,0.5750000000000001,1160.0,1390.0,1275.0
Saint Louis University,Yes,2021,15120,0.5750000000000001,1180.0,1370.0,1275.0
St. John's College Annapolis,Yes,All / Permanent Policy,913,0.5760000000000001,1210.0,1450.0,1330.0
Lake Forest College,Yes,All / Permanent Policy,4147,0.579,1110.0,1310.0,1210.0
Kennesaw State University,Yes,2021,13427,0.579,1080.0,1270.0,1175.0
